,avg_d_mbps,avg_u_mbps,tests,devices,long,lat,location
63531,118.171,99.513,8,6,144.9234008789065,-37.8249719251825,POINT (144.9234008789065 -37.8249719251825)
63612,181.956,66.347,1,1,149.059753417969,-35.4181532346035,POINT (149.059753417969 -35.4181532346035)
63626,148.708,45.892,5,4,115.859069824219,-31.786551524137952,POINT (115.859069824219 -31.78655152413795)
63764,125.188,34.772,6,4,144.429016113281,-37.6859938975509,POINT (144.429016113281 -37.6859938975509)
63819,185.834,200.067,5,5,138.622741699219,-34.81605823136125,POINT (138.622741699219 -34.81605823136125)
63841,110.197,38.829,1,1,144.30267333984347,-38.240337343900954,POINT (144.3026733398435 -38.24033734390095)
63845,203.211,24.623,4,4,143.8687133789065,-37.5772357592942,POINT (143.8687133789065 -37.5772357592942)
63854,138.361,28.647,10,1,145.154113769531,-37.503189346445694,POINT (145.154113769531 -37.50318934644569)
63884,178.381,27.714,3,2,150.597839355469,-34.892689632510894,POINT (150.597839355469 -34.89268963251089)
63912,112.307,5.032,1,1,153.2235717773435,-27.685960202786745,POINT (153.2235717773435 -27.68596020278675)
64261,157.298,70.367,2,2,150.8560180664065,-34.4590126459576,POINT (150.8560180664065 -34.4590126459576)
64359,116.346,10.345,1,1,115.82061767578101,-31.7445184625197,POINT (115.820617675781 -31.7445184625197)
64442,184.783,27.132,14,3,144.8080444335935,-37.86401244183379,POINT (144.8080444335935 -37.86401244183379)
64565,128.584,75.883,1,1,144.97833251953097,-37.824971925182496,POINT (144.978332519531 -37.8249719251825)
64640,117.673,30.462,13,9,144.54986572265653,-37.67295132590225,POINT (144.5498657226565 -37.67295132590225)
64654,111.126,116.084,7,1,143.8906860351565,-37.4421547492355,POINT (143.8906860351565 -37.4421547492355)
64716,196.08,29.461,27,3,153.2894897460935,-27.831789722899504,POINT (153.2894897460935 -27.8317897228995)
64866,113.064,16.852,27,3,150.30670166015648,-33.7129169581165,POINT (150.3067016601565 -33.7129169581165)
65177,205.086,17.951,1,1,115.74371337890649,-32.410110298236546,POINT (115.7437133789065 -32.41011029823655)
65186,112.644,4.802,1,1,151.240539550781,-33.845326472316046,POINT (151.240539550781 -33.84532647231605)
65217,104.362,41.975,4,4,153.108215332031,-27.885211550697804,POINT (153.108215332031 -27.8852115506978)
65271,373.957,407.858,1,1,149.0707397460935,-33.25936008484675,POINT (149.0707397460935 -33.25936008484675)
65324,130.78,29.849,11,4,150.8120727539065,-33.62605499627994,POINT (150.8120727539065 -33.62605499627994)
65330,332.557,329.228,3,2,151.213073730469,-33.972975741218754,POINT (151.213073730469 -33.97297574121875)
65436,114.131,5.138,1,1,152.99285888671898,-27.539935671814597,POINT (152.992858886719 -27.5399356718146)
65548,109.464,112.063,2,2,150.839538574219,-33.808820156871505,POINT (150.839538574219 -33.8088201568715)
65707,104.954,29.504,7,4,149.16412353515648,-21.107562578265,POINT (149.1641235351565 -21.107562578265)
65717,119.413,23.516,6,4,147.1810913085935,-41.45713695025925,POINT (147.1810913085935 -41.45713695025925)
65794,261.627,39.531,2,2,143.8412475585935,-37.61205567958565,POINT (143.8412475585935 -37.61205567958565)
65870,104.168,5.494,2,1,153.02032470703102,-27.50096294949805,POINT (153.020324707031 -27.50096294949805)
